,0
0,123183.74773946576
1,167908.6315665002
2,184770.41998906207
3,188468.44602295422
4,198555.42429777904
5,179810.7365694073
6,182125.78758403953
7,163006.2671698148
8,180323.08393803495
9,131059.18062510363
10,211802.94060402815
11,99913.06439717016
12,98855.55464256411
13,155202.60186698427
14,126483.40342205862
15,431586.06922200095
16,255566.0691584653
17,289743.72452502104
18,275302.46506534994
19,451976.71377723635
20,302400.83367270784
21,206793.34804211662
22,181887.43312118837
23,163398.32926942906
24,173996.4004206923
25,209599.17242483492
26,346519.03775144287
27,245399.9580179034
28,211389.72173046388
29,211574.04587838423
30,174348.87714036528
31,82263.82838801318
32,152708.5923968342
33,280567.10981355846
34,273885.5055067134
35,230511.41877796844
36,185015.14548462935
37,156315.21421041974
38,165223.22875339532
39,148176.44092936435
40,176358.4864958463
41,152791.9065137976
42,355717.96483670874
43,237110.7468323684
44,226543.95822407037
45,176433.5747141329
46,234015.54060696482
47,197863.84993137547
48,163264.10574035876
49,167997.2714600746
50,147040.04755782068
51,174387.05341600816
52,149228.70370801195
53,147609.5230852102
54,206981.45904032633
55,153466.71300201962
56,182911.11993217756
57,136008.55060886795
58,237192.065175339
59,137879.53502559924
60,147344.3425833863
61,164449.17016212075
62,118185.01075703216
63,120322.35273169169
64,123219.95333343299
65,105419.67238466402
66,109461.16494117661
67,140761.10001209742
68,156158.18801331052
69,160263.3434475048
70,147921.13843027563
71,99496.02648538513
72,144730.03460305976
73,114868.93901935474
74,152880.27031730628
75,102594.04870650367
76,84961.32779429373
77,171718.14567849366
78,232389.6595999249
79,99734.97193549083
80,146788.9931611097
81,143848.6259001983
82,251768.08113233556
83,82368.65002797343
84,118235.18832573055
85,131865.11964949418
86,146810.78937355548
87,137993.53549443727
88,112129.86900915597
89,159320.10690371503
90,117476.76518649851
91,142474.0474014468
92,139488.0126525335
93,130180.31164158764
94,165764.2979622763
95,105305.81196666072
96,114909.87449692856
97,115762.97634701632
98,106036.49603748394
99,126698.71123114975
100,132168.1475354903
101,119094.40071318622
102,122698.78965935169
103,179526.54587579868
104,157740.51536639637
105,215274.65371127694
106,90350.88203819722
107,222981.3339648518
108,153850.21808604145
109,131669.68249867472
110,115155.7033029194
111,156950.439532327
112,254204.96379405007
113,140034.46642041212
114,219621.14612720482
115,234669.5628768178
116,186966.96020123162
117,140152.2462238158
118,138847.6354664346
119,188264.07678947985
120,137315.7986398338
121,123234.96303699589
122,321653.56881613
123,242833.60194229486
124,142478.10167979225
125,77449.6098876003
126,100667.87578900809
127,153725.8263081084
128,97641.14436629973
129,144016.26488971373
130,103402.9710494664
131,131239.28588592977
132,125741.21903243814
133,130609.96311878899
134,115270.49862337655
135,233067.7393018943
136,158959.48466274084
137,194755.56544455193
138,182957.41674550655
139,186739.6783724681
140,68394.24218563283
141,122422.29119530336
142,86402.27653866615
143,278861.43866332085
144,248351.16621005806
145,173781.61883008695
146,187638.6910740609
147,205819.49910373407
148,192310.31545795433
149,155921.23361473094
150,144887.68605273456
151,181396.15287158755
152,163870.76809867373
153,119500.47444230142
154,78722.09092342187
155,80266.60891159448
156,84150.77109398732
157,132497.92857745703
158,122464.99578977624
159,174890.28136275127
160,143579.30089215378
161,146746.5853309509
162,282786.14109966054
163,210423.33001364148
164,118010.96217446697
165,171657.21718110787
166,195557.83741222433
167,260157.6529881012
168,189359.90946938368
169,378828.67981322843
170,240551.25746385424
171,276061.789477528
172,170033.83989177604
173,182528.7531741569
174,174489.39358062515
175,167376.27051056313
176,182368.938264209
177,180040.57776475116
178,188239.76699256792
179,237790.16557603478
180,188204.60156279133
181,219813.90581788615
182,234397.2405791538
183,220164.6298843929
184,182687.81993453923
185,164292.7653351905
186,168812.98188191716
187,147687.80472957992
188,142142.07897564283
189,118825.2484204188
190,127203.89694171524
191,92590.99996002666
192,97087.30759331495
193,151995.60634568392
194,145282.72711878794
195,150746.2862779594
196,150104.1796912352
197,142912.9387263906
198,132327.64684143677
199,160249.5593991245
200,457550.26288894925
201,496100.7764690692
202,388157.3889149908
203,398896.00055536133
204,316498.36266065354
205,311997.42836526054
206,360729.0713985226
207,342100.20266350376
208,305117.1161632657
209,334901.217720988
210,248783.3141443846
211,460260.5881986454
212,317330.5619676312
213,253522.56238963027
214,199753.61469133414
215,199956.04390503894
216,225830.5510906591
217,471411.8172951785
218,374603.2775445067
219,363426.9771573023
220,264726.5442534432
221,264799.9800204397
222,195054.90200732482
223,170169.88664846306
224,177000.1881203821
225,171406.9987355514
226,168541.34174616975
227,187970.53029667385
228,188711.36977417624
229,181211.27672384467
230,179362.83494348108
231,260246.58209441244
232,177117.8260775938
233,178704.81442083244
234,170555.48827555118
235,251293.98215669527
236,168934.3641593933
237,362763.81330600445
238,342076.4703684541
239,247792.5168871334
240,247636.9927084133
241,250814.97271213835
242,244527.27842572855
243,307246.8548918297
244,240712.28844547275
245,493643.34367435076
246,222891.53740917725
247,216606.27140193203
248,299723.29987579
249,223915.05681228108
250,255872.32557846987
251,262964.14596265985
252,274106.43605338095
253,218200.19237245474
254,200352.34028109504
255,188082.50900581077
256,185277.25109103697
257,148337.85208917974
258,187155.26582886322
259,247502.70773158004
260,179759.70824080042
261,141373.01032507585
262,154407.80915755755
263,243193.30159032522
264,232941.9578370107
265,184274.0703153579
266,157112.62665788698
267,181039.76562329516
268,160993.01017127986
269,167773.47737594048
270,121676.10581354081
271,120071.54654861937
272,113187.88877190436
273,125409.05327133012
274,118195.1865424619
275,101659.6396302511
276,325278.604213839
277,212965.09136281422
278,274612.943251058
279,246699.55014642837
280,188689.87376618848
281,161243.07806667784
282,172135.5294534392
283,307088.8564399882
284,233214.9140831411
285,255285.50316984352
286,222994.88029031322
287,208387.6714011874
288,169210.80423905508
289,133677.28937375336
290,235051.85888659942
291,122031.30113815659
292,153090.66444938537
293,204662.1432299865
294,170416.81510268242
295,126137.05230792079
296,123990.95531959352
297,159902.91177204202
298,166887.75444023908
299,175580.1260262856
300,149854.03381593875
301,171883.78642656934
302,188584.60539130185
303,114618.80353202147
304,178918.61856770387
305,171425.5891116625
306,204004.22460644087
307,147411.00409824372
308,176801.3225480469
309,146303.55983578713
310,143894.3672635448
311,138912.41330162156
312,143896.85927600774
313,133251.56842467943
314,139517.4749094468
315,132891.45597663414
316,118985.22918451813
317,142481.09049318254
318,111408.095422381
319,173540.77459965108
320,132495.81574613432
321,87787.28320335083
322,133207.3677510818
323,98950.51304538592
324,120376.10153117574
325,173172.3876992727
326,174310.3037151287
327,53300.68628349108
328,98389.79887717133
329,88891.71745641454
330,189406.70646690688
331,142895.74338350855
332,143206.04206532481
333,151987.57343672094
334,138026.3483530376
335,130920.74414607602
336,130111.15602911515
337,126761.6268873308
338,111801.47611710295
339,132571.88253039322
340,122464.79019898547
341,143684.1218584629
342,140989.87767986377
343,144432.8847847716
344,133101.14075345575
345,118878.47236024507
346,130246.6933802766
347,110772.63076678515
348,107752.99797326613
349,156528.0843255724
350,84961.5919438873
351,105973.00791275292
352,123328.4432044992
353,78407.59262754457
354,64090.907608866844
355,96496.39625758157
356,128193.37194905251
357,154467.91511896523
358,144552.27124892967
359,89833.43159718445
360,113062.28031251878
361,146644.76854950812
362,60276.78692381566
363,140354.13764524998
364,135083.9238417653
365,144266.51683270783
366,113340.46838382522
367,125080.4036330023
368,127666.45425585829
369,142441.2525333623
370,164271.33343452786
371,88712.91985558717
372,142076.81329141324
373,119459.83764988165
374,124119.20443809792
375,141299.73888593694
376,79577.29919342913
377,119552.24900862493
378,105933.72336253843
379,182228.10626498586
380,141646.00888292986
381,103963.43502720409
382,144339.6354079422
383,154997.6220285775
384,135471.51145578508
385,156266.29037000073
386,153775.38839396636
387,66963.01366765247
388,111476.97859600288
389,122687.37240411117
390,154695.18655724023
391,131453.73488885947
392,120863.60318636679
